A;RDC;41AE001;Espace demonstrateur;957;834
A;RDC;41AE002;Espace demonstrateur;0;0
A;RDC;41AE003;bureau;280;545
A;RDC;41AE004;bureau;504;278
A;RDC;41AE005;Espace detente;559;306
A;RDC;41AE005;Espace detente;677;504
A;RDC;41AE006;bureau;675;607
A;RDC;41AE007;bureau;675;628
A;RDC;41AE008;bureau;677;666
A;RDC;41AE009;Espace d'attente;668;693
A;RDC;41AE009;Espace d'attente;654;734
A;RDC;41AE010;bureau;423;757
A;RDC;41AE011;Local Photocopieur;423;782
A;RDC;41AE012;bureau;423;805
A;RDC;41AE013;Espace d'attente;556;796
A;RDC;41AE013;Espace d'attente;510;866
A;RDC;41AE014;bureau;759;910
A;RDC;41AE015;Infirmerie;768;933
A;RDC;41AE040;Couloir;0;0
A;RDC;41AE041;Local technique;702;512
A;RDC;41AE042;Local technique;703;494
A;RDC;41AE043;Local technique;704;476
A;RDC;41AE044;Couloir;0;0
A;RDC;41AE045;Couloir;0;0
A;RDC;41AE046;Sanitaires;707;575
A;RDC;41AE047;hall;0;0
A;RDC;41AE048;Sanitaires;596;764
A;RDC;41AE049;Couloir;0;0
A;RDC;41AE050;Escalier ;771;447
A;RDC;41AE051;Sanitaires;0;0
A;RDC;41AE052;Sanitaires;0;0
A;RDC;41AE053;Sanitaires;0;0
A;RDC;41AE054;Local technique;0;0
A;RDC;41AE055;Local technique;0;0
A;RDC;41AE056;Local technique;0;0
A;RDC;41AE057;Escalier SS;798;748
A;RDC;41AE058;Couloir;0;0
A;RDC;41AE070;Couloir;0;0
A;RDC;41AE071;Ascenseur;737;751
A;RDC;41AE072;Ascenseur;734;397
A;RDC;41AE072;Escalier;718;444
A;R+1;41AE101;Atelier ;0;0
A;R+1;41AE102;Local Photocopieur;0;0
A;R+1;41AE103;Atelier ;0;0
A;R+1;41AE104;Espace d'enseignement;0;0
A;R+1;41AE105;Atelier ;0;0
A;R+1;41AE106;bureau;0;0
A;R+1;41AE107;bureau;0;0
A;R+1;41AE108;Atelier ;0;0
A;R+1;41AE109;Espace d'enseignement;0;0
A;R+1;41AE110;Espace d'attente;0;0
A;R+1;41AE140;Couloir;0;0
A;R+1;41AE141;Couloir;0;0
A;R+1;41AE142;Escalier ;0;0
A;R+1;41AE143;Local technique;0;0
A;R+1;41AE144;Local technique;0;0
A;R+1;41AE145;Escalier ;0;0
A;R+1;41AE146;Couloir;0;0
A;R+1;41AE147;Couloir;0;0
A;R+1;41AE148;Couloir;0;0
A;R+1;41AE149;Local technique;0;0
A;R+1;41AE150;Local technique;0;0
A;R+1;41AE151;Local technique;0;0
A;R+1;41AE152;Sanitaires;0;0
A;R+1;41AE153;Sanitaires;0;0
A;R+1;41AE154;Sanitaires;0;0
A;R+1;41AE155;Couloir;0;0
A;RDC;41AE056;Ascenseur;0;0
A;RDC;41AE057;Ascenseur;0;0
A;R+2;41AE201;Espace d'enseignement;0;0
A;R+2;41AE202;Espace d'enseignement;0;0
A;R+2;41AE203;Espace d'enseignement;0;0
A;R+2;41AE204;bureau;0;0
A;R+2;41AE205;bureau;0;0
A;R+2;41AE206;Espace d'enseignement;0;0
A;R+2;41AE207;Local Photocopieur;0;0
A;R+2;41AE208;bureau;0;0
A;R+2;41AE209;Espace d'enseignement;0;0
A;R+2;41AE210;Espace d'enseignement;0;0
A;R+2;41AE211;Espace d'enseignement;0;0
A;R+2;41AE212;Stockage ;0;0
A;R+2;41AE213;Espace d'enseignement;0;0
A;R+2;41AE214;bureau;0;0
A;R+2;41AE215;Local technique;0;0
A;R+2;41AE240;Couloir;0;0
A;R+2;41AE241;Local technique;0;0
A;R+2;41AE242;Local technique;0;0
A;R+2;41AE243;Escalier ;0;0
A;R+2;41AE244;Couloir;0;0
A;R+2;41AE245;Couloir;0;0
A;R+2;41AE246;Couloir;0;0
A;R+2;41AE247;Local technique;0;0
A;R+2;41AE248;Local technique;0;0
A;R+2;41AE249;Local technique;0;0
A;R+2;41AE250;Sanitaires;0;0
A;R+2;41AE251;Sanitaires;0;0
A;R+2;41AE252;Sanitaires;0;0
A;R+2;41AE253;Escalier ;0;0
A;R+3;41AE301;Espace d'enseignement;0;0
A;R+3;41AE302;Atelier ;0;0
A;R+3;41AE303;Local Photocopieur;0;0
A;R+3;41AE304;Atelier ;0;0
A;R+3;41AE306;bureau;0;0
A;R+3;41AE307;bureau;0;0
A;R+3;41AE308;Espace d'enseignement;0;0
A;R+3;41AE309;Stockage ;0;0
A;R+3;41AE310;Espace d'enseignement;0;0
A;R+3;41AE311;Box;0;0
A;R+3;41AE312;Box;0;0
A;R+3;41AE340;Couloir;0;0
A;R+3;41AE341;Local technique;0;0
A;R+3;41AE342;Local technique;0;0
A;R+3;41AE343;Escalier ;0;0
A;R+3;41AE344;Couloir;0;0
A;R+3;41AE345;Couloir;0;0
A;R+3;41AE346;Local technique;0;0
